Genome,Order,Family,Genus,preVC,VC Status,VC,VC Size,Quality,Adjusted P-value,VC Avg Distance,Topology Confidence Score,Genus Confidence Score,VC Orders,VC Families,VC Genera
k141_193907||full,Unassigned,Unassigned,Unassigned,preVC_1220,Clustered,VC_1220_0,3,1.0,0.0,2.443769677115853,0.0,1.0,0,0,0
k141_193912||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_193919||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_193944||lt2gene,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_19394||lt2gene,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_194044||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_194062||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_194129||full,Unassigned,Unassigned,Unassigned,,Overlap (VC_238/VC_790),,,,,,,,,,
k141_194150||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_194212||full,Unassigned,Unassigned,Unassigned,preVC_1160,Clustered,VC_1160_0,2,0.113,0.53846154,1.0,0.0608,1.0,0,0,0
k141_194239||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_194331||lt2gene,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_194375||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_194481||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_194515||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_194527||lt2gene,Unassigned,Unassigned,Unassigned,preVC_1153,Clustered,VC_1153_0,4,1.0,0.0,0.0,0.0,1.0,0,0,0
k141_194529||lt2gene,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_194683||full,Unassigned,Unassigned,Unassigned,,Outlier,,,,,,,,,,
k141_194700||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_194733||full,Unassigned,Unassigned,Unassigned,,Overlap (VC_512/VC_513),,,,,,,,,,
k141_194754||full,Unassigned,Unassigned,Unassigned,preVC_1221,Clustered,VC_1221_0,4,0.575,0.80873301,2.509201921767762,0.465,1.0,0,0,0
k141_194775||full,Unassigned,Unassigned,Unassigned,preVC_609,Clustered/Singleton,VC_609_0,1,0.0,0.0,0,0.0,1.0,0,0,0
k141_194796||full_1,Unassigned,Unassigned,Unassigned,preVC_1222,Clustered,VC_1222_0,2,1.0,0.0,6.0,0.0,1.0,0,0,0
k141_194859||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_194892||full,Unassigned,Unassigned,Unassigned,preVC_236,Clustered,VC_236_0,13,0.7616,1.0,1.0066303372268486,0.7616,1.0,0,0,0
k141_194893||full,Unassigned,Unassigned,Unassigned,,Outlier,,,,,,,,,,
k141_194913||full,Unassigned,Unassigned,Unassigned,preVC_634,Clustered,VC_634_0,9,0.6343,0.99999937,5.959508452422569,0.6343,1.0,0,0,0
k141_194955||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_194964||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_19496||lt2gene,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_195018||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_195048||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_195080||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_195090||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_19513||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_195159||lt2gene,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_195250||full,Unassigned,Unassigned,Unassigned,preVC_1223,Clustered,VC_1223_0,2,0.0576,0.443939,3.1622776601683795,0.0256,1.0,0,0,0
k141_195275||lt2gene,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_195326||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_195332||lt2gene,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_195342||full,Unassigned,Unassigned,Unassigned,preVC_985,Clustered,VC_985_0,4,0.6453,0.99595973,0.0,0.6427,1.0,0,0,0
k141_195365||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_195380||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_195398||lt2gene,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_19548||full,Unassigned,Unassigned,Unassigned,,Outlier,,,,,,,,,,
k141_195490||lt2gene,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_195564||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_195579||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_195584||full,Unassigned,Unassigned,Unassigned,preVC_1224,Clustered,VC_1224_0,2,1.0,0.0,0.0,0.0,1.0,0,0,0
k141_195590||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_195597||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_195666||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_195668||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_195748||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_195779||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_195806||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_195842||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_195932||lt2gene,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_195||lt2gene,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_196054||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_196106||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_196133||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_196146||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_196157||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_196159||full,Unassigned,Unassigned,Unassigned,preVC_593,Clustered,VC_593_0,29,0.7584,1.0,1.594949397078208,0.7584,1.0,0,0,0
k141_196205||full,Unassigned,Unassigned,Unassigned,preVC_986,Clustered,VC_986_0,24,0.9264,0.25998485,1.2650704094987035,0.2409,1.0,0,0,0
k141_196216||lt2gene,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_196296||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_196299||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_196301||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_196333||full,Unassigned,Unassigned,Unassigned,preVC_460,Clustered,VC_460_0,13,0.6431,1.0,5.080674072889408,0.6431,1.0,0,0,0
k141_196356||lt2gene,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_196386||lt2gene,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_196412||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_196420||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_19642||full,Unassigned,Unassigned,Unassigned,preVC_1225,Clustered,VC_1225_0,3,0.7898,0.0,1.7638342073763937,0.0,1.0,0,0,0
k141_196436||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_196475||full,Unassigned,Unassigned,Unassigned,preVC_402,Clustered/Singleton,VC_402_0,1,0.0,0.0,0,0.0,1.0,0,0,0
k141_196505||lt2gene,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_196534||lt2gene,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_196543||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_196637||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_196689||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_196712||lt2gene,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_196718||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_196731||full,Unassigned,Unassigned,Unassigned,,Outlier,,,,,,,,,,
k141_196746||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_196749||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_196755||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_196800||full,Unassigned,Unassigned,Unassigned,,Outlier,,,,,,,,,,
k141_196810||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_196829||lt2gene,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_196840||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_196841||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_196853||full,Unassigned,Unassigned,Unassigned,preVC_859,Clustered,VC_859_0,17,0.471,0.99995468,3.0653557107191878,0.471,1.0,0,0,0
k141_196926||full,Unassigned,Unassigned,Unassigned,preVC_667,Clustered,VC_667_0,19,0.4005,1.0,0.8886064311416686,0.4005,1.0,0,0,0
k141_196951||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_197009||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_197026||lt2gene,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_197042||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_19710||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_197158||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_197164||full,Unassigned,Unassigned,Unassigned,preVC_1071,Clustered,VC_1071_0,3,0.3374,0.2,3.1596341501745933,0.0675,1.0,0,0,0
k141_19725||lt2gene,Unassigned,Unassigned,Unassigned,preVC_823,Clustered,VC_823_0,11,1.0,0.0,0.0,0.0,1.0,0,0,0
k141_197373||full,Unassigned,Unassigned,Unassigned,preVC_1226,Clustered,VC_1226_0,4,1.0,0.0,0.0,0.0,1.0,0,0,0
k141_197402||lt2gene,Unassigned,Unassigned,Unassigned,preVC_944,Clustered,VC_944_0,9,1.0,0.0,0.0,0.0,1.0,0,0,0
k141_197418||lt2gene,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_197433||lt2gene,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_197488||full,Unassigned,Unassigned,Unassigned,preVC_1227,Clustered,VC_1227_0,2,0.7461,0.5,1.4142135623730951,0.373,1.0,0,0,0
k141_197513||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_197624||lt2gene,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_19762||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_197747||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_197775||lt2gene,Unassigned,Unassigned,Unassigned,preVC_1229,Clustered,VC_1229_0,2,1.0,0.0,0.0,0.0,1.0,0,0,0
k141_197779||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_197829||full,Unassigned,Unassigned,Unassigned,,Overlap (VC_568/VC_1410),,,,,,,,,,
k141_197846||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_197850||full_1,Unassigned,Unassigned,Unassigned,preVC_1230,Clustered,VC_1230_0,2,1.0,0.0,3.0,0.0,1.0,0,0,0
k141_19786||full,Unassigned,Unassigned,Unassigned,preVC_103,Clustered,VC_103_0,3,0.2886,0.99630479,7.429429113817638,0.2876,1.0,0,0,0
k141_197892||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_197984||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_198087||lt2gene,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_198134||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_198138||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_198142||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_198206||lt2gene,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_198257||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_198298||full,Unassigned,Unassigned,Unassigned,preVC_616,Clustered,VC_616_0,2,0.3867,0.5,1.4142135623730951,0.1933,1.0,0,0,0
k141_198305||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_198320||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_198346||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_198358||full,Unassigned,Unassigned,Unassigned,,Overlap (VC_397/VC_631),,,,,,,,,,
k141_198388||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_198441||full,Unassigned,Unassigned,Unassigned,,Outlier,,,,,,,,,,
k141_198472||full,Unassigned,Unassigned,Unassigned,preVC_1231,Clustered,VC_1231_0,2,1.0,0.0,0.0,0.0,1.0,0,0,0
k141_198513||full,Unassigned,Unassigned,Unassigned,preVC_1232,Clustered,VC_1232_0,2,1.0,0.0,1.0,0.0,1.0,0,0,0
k141_198528||full,Unassigned,Unassigned,Unassigned,preVC_1233,Clustered,VC_1233_0,2,0.0979,0.09090909,4.358898943540674,0.0089,1.0,0,0,0
k141_19852||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_19853||lt2gene,Unassigned,Unassigned,Unassigned,preVC_1234,Clustered,VC_1234_0,3,1.0,0.0,0.0,0.0,1.0,0,0,0
k141_198549||full,Unassigned,Unassigned,Unassigned,preVC_1235,Clustered,VC_1235_0,2,1.0,0.0,0.0,0.0,1.0,0,0,0
k141_198562||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_198577||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_198592||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_198602||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_198634||lt2gene,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_1986||lt2gene,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_198705||full,Unassigned,Unassigned,Unassigned,preVC_1017,Clustered,VC_1017_0,6,0.6361,0.99741599,4.944154779977916,0.6344,1.0,0,0,0
k141_198760||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_198774||lt2gene,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_198778||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_198786||lt2gene,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_198810||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_198815||full,Unassigned,Unassigned,Unassigned,preVC_208,Clustered,VC_208_0,2,0.5279,0.66666667,1.7320508075688772,0.3519,1.0,0,0,0
k141_198828||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_19885||full,Unassigned,Unassigned,Unassigned,,Overlap (VC_647/VC_1096),,,,,,,,,,
k141_198864||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_198898||lt2gene,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_198968||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_198988||lt2gene,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_199001||full,Unassigned,Unassigned,Unassigned,preVC_1047,Clustered,VC_1047_0,5,0.3707,0.97401478,4.870026756001587,0.3611,1.0,0,0,0
k141_199026||full,Unassigned,Unassigned,Unassigned,,Overlap (VC_475/VC_476/VC_685),,,,,,,,,,
k141_199059||full,Unassigned,Unassigned,Unassigned,,Outlier,,,,,,,,,,
k141_199073||full,Unassigned,Unassigned,Unassigned,,Outlier,,,,,,,,,,
k141_199083||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_199151||lt2gene,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_199164||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_199180||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_199208||lt2gene,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_199228||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_19924||lt2gene,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_199260||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_19928||lt2gene,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_199300||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_199338||lt2gene,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_199353||full,Unassigned,Unassigned,Unassigned,preVC_1239,Clustered,VC_1239_0,4,0.7009,0.86559324,2.1138159045312555,0.6067,1.0,0,0,0
k141_199382||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_199383||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_19940||full,Unassigned,Unassigned,Unassigned,,Overlap (VC_595/VC_1046/VC_1345),,,,,,,,,,
k141_199449||lt2gene,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_199451||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_199458||full,Unassigned,Unassigned,Unassigned,preVC_1210,Clustered,VC_1210_0,6,1.0,0.0,0.0,0.0,1.0,0,0,0
k141_199518||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_199528||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_199550||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_199580||full,Unassigned,Unassigned,Unassigned,preVC_522,Clustered,VC_522_0,6,0.8505,0.04765436,1.3631218299791827,0.0405,1.0,0,0,0
k141_19958||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_199644||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_19974||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_199792||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_199810||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_199811||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_19983||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_199899||0_partial_1,Unassigned,Unassigned,Unassigned,,Outlier,,,,,,,,,,
k141_1998||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_199933||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_199941||full_1,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_200014||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_200094||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_200159||full,Unassigned,Unassigned,Unassigned,preVC_1240,Clustered,VC_1240_0,3,0.7109,0.98333333,2.9740586886064633,0.699,1.0,0,0,0
k141_200177||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_200185||lt2gene,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_200202||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_200232||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_200282||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_200300||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_200309||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_200321||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_200390||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_2003||lt2gene,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_200419||lt2gene,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_200425||full,Unassigned,Unassigned,Unassigned,,Outlier,,,,,,,,,,
k141_200427||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_200474||full,Unassigned,Unassigned,Unassigned,,Outlier,,,,,,,,,,
k141_200485||full,Unassigned,Unassigned,Unassigned,preVC_765,Clustered,VC_765_0,4,0.6651,0.57142857,2.225415602220272,0.38,1.0,0,0,0
k141_200507||full,Unassigned,Unassigned,Unassigned,preVC_528,Clustered,VC_528_0,17,0.3131,1.0,1.7314627121371027,0.3131,1.0,0,0,0
k141_200520||full,Unassigned,Unassigned,Unassigned,preVC_1243,Clustered,VC_1243_0,2,1.0,0.0,0.0,0.0,1.0,0,0,0
k141_200527||full,Unassigned,Unassigned,Unassigned,preVC_1018,Clustered,VC_1018_0,6,1.0,0.0,0.0,0.0,1.0,0,0,0
k141_200562||full,Unassigned,Unassigned,Unassigned,,Overlap (VC_238/VC_790),,,,,,,,,,
k141_200565||full,Unassigned,Unassigned,Unassigned,preVC_1244,Clustered,VC_1244_0,2,1.0,0.0,0.0,0.0,1.0,0,0,0
k141_200567||full,Unassigned,Unassigned,Unassigned,preVC_1245,Clustered,VC_1245_0,2,1.0,0.0,1.4142135623730951,0.0,1.0,0,0,0
k141_200657||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_200663||full,Unassigned,Unassigned,Unassigned,preVC_874,Clustered,VC_874_0,2,1.0,0.0,0.0,0.0,1.0,0,0,0
k141_200681||lt2gene,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_200695||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_200714||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_200715||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_200724||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_200736||full,Unassigned,Unassigned,Unassigned,,Overlap (VC_979/VC_1247),,,,,,,,,,
k141_200756||full,Unassigned,Unassigned,Unassigned,,Outlier,,,,,,,,,,
k141_200787||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_200797||full,Unassigned,Unassigned,Unassigned,preVC_1247,Clustered,VC_1247_0,3,0.626,0.0,3.871547044231619,0.0,1.0,0,0,0
k141_200814||full,Unassigned,Unassigned,Unassigned,preVC_597,Clustered,VC_597_0,3,0.2917,0.94948226,1.7638342073763937,0.277,1.0,0,0,0
k141_20081||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_200827||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_200832||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_200903||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_200912||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_200920||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_200960||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_201025||full,Unassigned,Unassigned,Unassigned,preVC_958,Clustered,VC_958_0,10,1.0,0.0,0.0,0.0,1.0,0,0,0
k141_201141||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_201146||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_201193||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_201233||full,Unassigned,Unassigned,Unassigned,preVC_1248,Clustered,VC_1248_0,3,1.0,0.0,0.0,0.0,1.0,0,0,0
k141_201238||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_201247||lt2gene,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_201256||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_20127||lt2gene,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_201309||full,Unassigned,Unassigned,Unassigned,preVC_548,Clustered,VC_548_0,7,0.5932,0.99720625,1.8265699482370468,0.5915,1.0,0,0,0
k141_201334||full,Unassigned,Unassigned,Unassigned,,Overlap (VC_428/VC_429/VC_430),,,,,,,,,,
k141_201358||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_201452||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_201508||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_201563||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_201626||full,Unassigned,Unassigned,Unassigned,,Outlier,,,,,,,,,,
k141_201629||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_201646||full,Unassigned,Unassigned,Unassigned,,Outlier,,,,,,,,,,
k141_201654||lt2gene,Unassigned,Unassigned,Unassigned,preVC_907,Clustered,VC_907_0,8,1.0,0.0,0.0,0.0,1.0,0,0,0
k141_201655||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_201665||lt2gene,Unassigned,Unassigned,Unassigned,preVC_907,Clustered,VC_907_0,8,1.0,0.0,0.0,0.0,1.0,0,0,0
k141_201682||full,Unassigned,Unassigned,Unassigned,,Outlier,,,,,,,,,,
k141_201699||full,Unassigned,Unassigned,Unassigned,preVC_464,Clustered,VC_464_0,16,0.4712,1.0,2.811429288080719,0.4712,1.0,0,0,0
k141_2016||full,Unassigned,Unassigned,Unassigned,preVC_407,Clustered,VC_407_0,3,1.0,0.0,3.74909698057485,0.0,1.0,0,0,0
k141_201745||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_201748||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_201769||full,Unassigned,Unassigned,Unassigned,preVC_1249,Clustered,VC_1249_0,2,1.0,0.0,0.0,0.0,1.0,0,0,0
k141_201772||full,Unassigned,Unassigned,Unassigned,,Overlap (VC_498/VC_499),,,,,,,,,,
k141_201795||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_201839||full,Unassigned,Unassigned,Unassigned,,Outlier,,,,,,,,,,
k141_201885||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_20189||full,Unassigned,Unassigned,Unassigned,,Overlap (VC_483/VC_486),,,,,,,,,,
k141_201936||full,Unassigned,Unassigned,Unassigned,preVC_1013,Clustered,VC_1013_0,7,0.9019,0.96969037,1.136019355264334,0.8745,1.0,0,0,0
k141_202018||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_202019||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_202083||lt2gene,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
